"","V1","V2","Attractor","Grammaticality","Experiment"
"174",-3.27,1.3940057770737e-07,"Match","Grammatical","Experiment 1"
"175",-3.26,1.4607427696303e-07,"Match","Grammatical","Experiment 1"
"176",-3.25,1.5306576973119e-07,"Match","Grammatical","Experiment 1"
"177",-3.24,1.6039269157004e-07,"Match","Grammatical","Experiment 1"
"178",-3.23,1.6807092915421e-07,"Match","Grammatical","Experiment 1"
"179",-3.22,1.7611510591136e-07,"Match","Grammatical","Experiment 1"
"180",-3.21,1.84546212234e-07,"Match","Grammatical","Experiment 1"
"181",-3.2,1.9337977717802e-07,"Match","Grammatical","Experiment 1"
"182",-3.19,2.0263553918251e-07,"Match","Grammatical","Experiment 1"
"183",-3.18,2.1233658958873e-07,"Match","Grammatical","Experiment 1"
"184",-3.17,2.2249967091858e-07,"Match","Grammatical","Experiment 1"
"185",-3.16,2.3314998451068e-07,"Match","Grammatical","Experiment 1"
"186",-3.15,2.4431144960572e-07,"Match","Grammatical","Experiment 1"
"187",-3.14,2.5600463280828e-07,"Match","Grammatical","Experiment 1"
"188",-3.13,2.6826003429658e-07,"Match","Grammatical","Experiment 1"
"189",-3.12,2.8110096737004e-07,"Match","Grammatical","Experiment 1"
"190",-3.11,2.9455519619989e-07,"Match","Grammatical","Experiment 1"
"191",-3.1,3.0865681944057e-07,"Match","Grammatical","Experiment 1"
"192",-3.09,3.2343026679815e-07,"Match","Grammatical","Experiment 1"
"193",-3.08,3.3891145626586e-07,"Match","Grammatical","Experiment 1"
"194",-3.07,3.5513624479717e-07,"Match","Grammatical","Experiment 1"
"195",-3.06,3.7213373884585e-07,"Match","Grammatical","Experiment 1"
"196",-3.05,3.8994803890749e-07,"Match","Grammatical","Experiment 1"
"197",-3.04,4.0861433099691e-07,"Match","Grammatical","Experiment 1"
"198",-3.03,4.2817152166888e-07,"Match","Grammatical","Experiment 1"
"199",-3.02,4.4866981287876e-07,"Match","Grammatical","Experiment 1"
"200",-3.01,4.7014511229588e-07,"Match","Grammatical","Experiment 1"
"201",-3,4.9264846975736e-07,"Match","Grammatical","Experiment 1"
"202",-2.99,5.1623342467163e-07,"Match","Grammatical","Experiment 1"
"203",-2.98,5.4094144803324e-07,"Match","Grammatical","Experiment 1"
"204",-2.97,5.6683598864485e-07,"Match","Grammatical","Experiment 1"
"205",-2.96,5.9397039927893e-07,"Match","Grammatical","Experiment 1"
"206",-2.95,6.2239897627743e-07,"Match","Grammatical","Experiment 1"
"207",-2.94,6.52195417253e-07,"Match","Grammatical","Experiment 1"
"208",-2.93,6.8341287239953e-07,"Match","Grammatical","Experiment 1"
"209",-2.92,7.1612368490867e-07,"Match","Grammatical","Experiment 1"
"210",-2.91,7.5040750390383e-07,"Match","Grammatical","Experiment 1"
"211",-2.9,7.863238397361e-07,"Match","Grammatical","Experiment 1"
"212",-2.89,8.2396364742757e-07,"Match","Grammatical","Experiment 1"
"213",-2.88,8.6340774879487e-07,"Match","Grammatical","Experiment 1"
"214",-2.87,9.0473197312447e-07,"Match","Grammatical","Experiment 1"
"215",-2.86,9.4804407603474e-07,"Match","Grammatical","Experiment 1"
"216",-2.85,9.9342325100905e-07,"Match","Grammatical","Experiment 1"
"217",-2.84,1.04097169413919e-06,"Match","Grammatical","Experiment 1"
"218",-2.83,1.0908074931389e-06,"Match","Grammatical","Experiment 1"
"219",-2.82,1.14301667527137e-06,"Match","Grammatical","Experiment 1"
"220",-2.81,1.19772930049482e-06,"Match","Grammatical","Experiment 1"
"221",-2.8,1.25506719863165e-06,"Match","Grammatical","Experiment 1"
"222",-2.79,1.31513685617092e-06,"Match","Grammatical","Experiment 1"
"223",-2.78,1.37809504445889e-06,"Match","Grammatical","Experiment 1"
"224",-2.77,1.4440604803558e-06,"Match","Grammatical","Experiment 1"
"225",-2.76,1.51317704331779e-06,"Match","Grammatical","Experiment 1"
"226",-2.75,1.58561924875105e-06,"Match","Grammatical","Experiment 1"
"227",-2.74,1.6615123844282e-06,"Match","Grammatical","Experiment 1"
"228",-2.73,1.74104194313889e-06,"Match","Grammatical","Experiment 1"
"229",-2.72,1.82439075254128e-06,"Match","Grammatical","Experiment 1"
"230",-2.71,1.91170926621264e-06,"Match","Grammatical","Experiment 1"
"231",-2.7,2.00322444541803e-06,"Match","Grammatical","Experiment 1"
"232",-2.69,2.09911523198579e-06,"Match","Grammatical","Experiment 1"
"233",-2.68,2.1995834459062e-06,"Match","Grammatical","Experiment 1"
"234",-2.67,2.30488620980855e-06,"Match","Grammatical","Experiment 1"
"235",-2.66,2.41520733489283e-06,"Match","Grammatical","Experiment 1"
"236",-2.65,2.53081064800795e-06,"Match","Grammatical","Experiment 1"
"237",-2.64,2.65196940151255e-06,"Match","Grammatical","Experiment 1"
"238",-2.63,2.77889758184857e-06,"Match","Grammatical","Experiment 1"
"239",-2.62,2.91192213872307e-06,"Match","Grammatical","Experiment 1"
"240",-2.61,3.05131409539261e-06,"Match","Grammatical","Experiment 1"
"241",-2.6,3.19735540499012e-06,"Match","Grammatical","Experiment 1"
"242",-2.59,3.35042379771807e-06,"Match","Grammatical","Experiment 1"
"243",-2.58,3.51079086651672e-06,"Match","Grammatical","Experiment 1"
"244",-2.57,3.67883076416054e-06,"Match","Grammatical","Experiment 1"
"245",-2.56,3.8549503633158e-06,"Match","Grammatical","Experiment 1"
"246",-2.55,4.03945615873145e-06,"Match","Grammatical","Experiment 1"
"247",-2.54,4.23281714961838e-06,"Match","Grammatical","Experiment 1"
"248",-2.53,4.43544435444741e-06,"Match","Grammatical","Experiment 1"
"249",-2.52,4.64773110330011e-06,"Match","Grammatical","Experiment 1"
"250",-2.51,4.87023035519306e-06,"Match","Grammatical","Experiment 1"
"251",-2.5,5.10334610771642e-06,"Match","Grammatical","Experiment 1"
"252",-2.49,5.3476073315116e-06,"Match","Grammatical","Experiment 1"
"253",-2.48,5.60361775069378e-06,"Match","Grammatical","Experiment 1"
"254",-2.47,5.87181957684221e-06,"Match","Grammatical","Experiment 1"
"255",-2.46,6.15288386134527e-06,"Match","Grammatical","Experiment 1"
"256",-2.45,6.4474308969387e-06,"Match","Grammatical","Experiment 1"
